Creatives to be paused,Status,GTM,Why?,Data
— Still live — pause now (0) —,,,,
— Already handled (no longer spending) (2) —,,,,
weightloss_bhabhixnanadxzip_newscript_femalepov_cartoonedit_track296_livegen_veo3_gtm_kashish_28april,ALREADY PAUSED,true,"fatigued, CTR & CAC worse than cohort",CTR dropped 52% in last 3 days · CAC 6.0× best · ₹4.4L spend
hair_whyxhair_newscript_track309_gtm_khushi_draco_veo3_7april,ALREADY PAUSED,true,"fatigued, CTR & CAC worse than cohort",CTR dropped 68% in last 3 days · CAC 13.7× best · ₹0.6L spend
