Creative,Adset,GTM,CAC vs own best,CAC vs cohort,Spend
utilise_protalker_mix19sep7_asmr_21sep_faceless_newtopic_fe_track14,utilise time,false,2.2× best,₹1099.2 vs ₹644.0 cohort,₹0.9L
horxother_track342_seekho_erickshawxpti_aixmango_talkingobject_animation_ai_16may26_pc_expansion_exp_format_agency_pc_ext_shivam_sachinxedit_sharemarket_hook3,top - 342 - horxother,false,25.8× best,₹722.5 vs ₹644.0 cohort,₹0.8L
utilisetime_track14_seekho_harcheezxpaisaxpti_sandeep_printeda4_animation_ai_28apr26_pc_new_new_crosstest_agency_pc_ext_shivam_sandeepxedit_pti,top - 14 - utilise time,false,2.1× best,₹733.9 vs ₹644.0 cohort,₹0.8L
smallbizideas_saladboxxbiz_rishabh_cartoon3edit_1jan_faceless_expansion_track40_m1_hook2,bau - business (aa),false,32.5× best,₹942.4 vs ₹644.0 cohort,₹0.8L
diy_track117_seekho_gharkisafaaixsmafrthacks_ashulaal_cartoonedit_face_ai_14may26_livegen_new_newscript_performance_aniket_ext,top - 117 - diy - 2,false,70.4× best,₹985.4 vs ₹644.0 cohort,₹0.7L
seekhotamil_biz_sharexmarketxinvestingxguide_malexadvisor_human_splitxscreen_22nd may_rep_telugu_hook_agency_shashank_wdm_track187_24may,seekhotamil,false,2.2× best,₹965.8 vs ₹644.0 cohort,₹0.7L
eng_seekhomalayalam_learnxenglish_roboxteachingxenglish_slingshot creations_ai_face_17may26_rep_hindi_demography_agency_shashank_sling_track265_21may,seekhomalayalam,false,1.6× best,₹513.0 vs ₹644.0 cohort,₹0.7L
seekhomalayalam_eng_learnxfluency_successfulxfemale_slingshot creations_ai_face_21may26_exp_persona_agency_shashank_sling_track330_27may,seekhomalayalam,false,5.4× best,₹1092.4 vs ₹644.0 cohort,₹0.6L
instautilisetime70_instaxworldxstory_bhavesh_talkingobject_12mar_creator_newtopic_m5.3 _expansion_shivam_pc_hook1,top - 35 - instagram(aa),false,3.6× best,₹459.6 vs ₹876.7 cohort,₹0.6L
seekhotelugu_eng_learnxenglish_manxgivingxspeech_slingshot creations_ai_face_24may26_exp_hook_agency_shashank_sling__27may,seekhotelugu,false,2.4× best,₹743.1 vs ₹644.0 cohort,₹0.5L
astrosamadhaan_jaswinderkimehnatx1lakhudhaarxreworked_cartoonedit_lg_28feb,top - 55 - astro samadhaan,false,3.1× best,₹476.7 vs ₹644.0 cohort,₹0.5L
diy_track117_seekho_gharkabtheekkaregaxswitchepair_arun_microdrama_face_ai_20may26_livegen_new_newscript_performance_aniket_ext,top - 117 - diy - 2,false,2.2× best,₹415.5 vs ₹644.0 cohort,₹0.5L
seekhokannada_eng_learnxenglish_roboxteachingxenglish_slingshot creations_ai_face_17may26_rep_hindi_demography_agency_shashank_sling_track337_24may,seekhokannada,false,4.7× best,₹915.2 vs ₹644.0 cohort,₹0.5L
seekhotamil_arasu_doxitxonline_givtxservicesxfemalexpressxmeet_ai_face_28may26_exp_persona_agency_shashank_sling_track209_02jun,seekhotamil,false,2.2× best,₹673.2 vs ₹644.0 cohort,₹0.4L
seekhomalayalam_share_stockxmarketxfinancialxfreedomxsuccessxstoryxinvestingxsidexincome_malexyoungxactor_human_splitxscreen_15may26_rep_hindi_demography anf face_agency_shashank_wdm_track326_24may,seekhomalayalam,false,4.0× best,₹1071.6 vs ₹644.0 cohort,₹0.4L
seekhomalayalam_biz_startxbusiness_solarxpanelxcleaningxbusiness_slingshot creations_microdramaxcartoon_face_21may26_rep_hindi_demography_agency_shashank_sling_track331_27may,seekhomalayalam,false,1.9× best,₹406.8 vs ₹644.0 cohort,₹0.4L
seekhotelugu_share_learnxinvesting_manxexplaingxsharexmarketxstrategy_slingshot creations_ai_face_21may26_rep_hindi_demography_agency_shashank_sling_track318_24may,seekhotelugu,false,3.6× best,₹899.5 vs ₹644.0 cohort,₹0.4L
horxother_track342_seekho_patixpromotion_muskan_testimonialxchores_face_human_16may26_pc_expansion_exp_creator_agency_pc_ext_anshumali_nikhilxedit_career_hook3,horxother,false,1.6× best,₹759.4 vs ₹644.0 cohort,₹0.4L
seekhokannada_biz_notexbookxmakingxbusinessxlowxinvestmentxstartup_malexfaceless_asmr_face_22may26_rep_hindi_demography anf face_agency_shashank_wdm_track338_24may,seekhokannada,false,3.9× best,₹892.2 vs ₹644.0 cohort,₹0.4L
finance_emioverduexgoodscore_ajay_panchayat_26mar_creator_expansion_m5.3 _newtopic_anshumali_priyansh_hook3_track12,finance,false,5.0× best,₹114.5 vs ₹644.0 cohort,₹0.4L
seekhomalayalam_share_learnxinvesting_candlexexplainxinvestingxterms_slingshot creations_microdramaxcartoon_faceless_17may26_rep_hindi_demography_agency_shashank_sling_track269_21may,seekhomalayalam,false,3.1× best,₹1095.4 vs ₹644.0 cohort,₹0.4L
horxother_track342_seekho_painterbhaiya_palak_microdrama_face_ai_11may26_livegen_new_newscript_performance_aniket_hook2_ext,top - 342 - horxother,false,4.4× best,₹594.6 vs ₹644.0 cohort,₹0.4L
seekhotelugu_share_sharexmarketxcomapexlifexgrowth_adultxmalexguy_asmr_faceless_30dec99_rep_hindi_demography and face_agency_shashank_wdm_track318_24may,seekhotelugu,false,1.6× best,₹673.4 vs ₹644.0 cohort,₹0.4L
sarkaricards_aadharcard_rishabh_printeda4xminiature_11dec_faceless_expansion_m3_adsetname_rework_hook1,top - 1 - sarkari kaam,false,3.3× best,₹232.5 vs ₹644.0 cohort,₹0.3L
